Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InfMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsPer100
Ecuador,ECU,16385068,36.024,5800,34.3,19.14986347,19.67991108,2.548523246,84.72519003,6.507,2.486,86,17.8,76.327,13.1676851,0.29,2.761702175,891.6886204,86.88466036,154914,174342,-12.54115186,,,,,,
"Egypt, Arab Rep.",EGY,95688681,56.778,3410,,19.67594301,10.34546394,1.666605152,102.1975013,6.529,3.265,95,19.4,71.484,126.0282315,0.15,2.198980246,814.9880595,95.96982311,633695.8,585284.6,7.639501477,,,,,,
El Salvador,SLV,6344722,32.811,3930,30.7,44.09497191,27.86503265,1.033362534,151.8941098,6.488,2.079,90,12.9,73.512,33.38600558,0.7,1.000644623,647.3096097,48.42958734,474,374,21.09704641,45.6,26.49,0.13,0.15,,5.8
Equatorial Guinea,GNQ,1221490,59.897,8250,,41.18191304,51.3146468,0.162044029,47.12686964,5.756,4.687,30,66.2,57.681,71.17976196,,4.733816529,,,1591174,1528894,3.914091105,,,,,,
Eritrea,ERI,,,,,,,,10.21263885,6.728,4.133,93,32.9,65.092,50.51448122,1.33,,,22.26735712,226580,223494,1.36199135,,,,,,
Estonia,EST,1315790,32.532,17830,,75.12148794,78.98136172,2.132874447,144.6098951,1.87,1.58,93,2.3,77.73658537,5.928305245,1.14,14.84881917,4592.616457,14.49029111,24888,27258,-9.522661524,2.67,0.15,2.11,0.15,0.3,9.2
Ethiopia,ETH,102403196,80.078,660,,27.5583169,7.948019726,0.665032956,50.02187627,6.867,4.198,70,41,65.475,49.73530571,0.64,0.119124015,496.8146013,6.112020418,102644,104014,-1.334710261,,,,,,
Faroe Islands,FRO,49117,57.813,,,,,,110.9330782,,2.6,,,82.24146341,,,12.23784857,,,18640,19216,-3.090128755,,,,,,
Fiji,FJI,898760,45.901,4800,,51.58048033,26.407256,0.966990291,116.2362588,5.278,2.516,94,18.7,70.269,7.658563742,0.67,1.320574708,,,22088,31464,-42.44838827,,,,,,
Finland,FIN,5495303,15.642,45040,,36.77475866,36.03277519,1.431133645,133.8528678,2.41,1.65,94,1.9,81.7804878,6.234267477,1.34,8.660721243,6213.357766,42.10134646,,,,3.25,0.32,2.94,0.02,0.02,27.5
France,FRA,66859768,20.25,38780,,30.97343227,30.15546306,2.327323645,104.4040167,2.8,1.96,90,3.2,82.27317073,11.8693378,1.2,4.573182147,3658.865709,46.20891197,1653.1,1727.3,-4.488536689,2.83,0.21,2.16,0.04,0.41,31.2
French Polynesia,PYF,280208,44.198,,,,,,99.96538286,5.267,2.013,,,76.813,,,2.915134817,,,26322,26650,-1.246105919,,,,,,
